Item,Type,Quantity,Calories,Carbohydrate,Fat,Protein
fish fillets,White fillets fish, 100 g,72,0g,1g,17g
fish fillets,Gorton's, 2 fillets,240,20g,12g,8g
fish fillets,Cod Fillets, 2 fillets,250,20g,12g,14g
boiled potatoes,Potatoes Boiled, 100 gr,86,20g,0g,2g
boiled potatoes,Boiled Potatoes, 100 grams,50,18g,2g,2g
boiled potatoes,Boiled Potatoes, 100 g 1 cup cooked,55,12g,0g,1g
Besan flour,Besan Flour, 100 gram,387,58g,3g,22g
Besan flour,Gaay, 0.25 cup,105,17g,1g,7g
gram flour,East End Gram Flour, 100 g,359,52g,5g,22g
gram flour,Natco, 100 g,359,54g,6g,22g
gram flour,Gram flour, 100 gram,351,48g,7g,19g
pomegranate,Pomegranate Vinegar, 1 tbsp (15g),20,5g,0g,0g
pomegranate,Pom Pomegranate, 0.5 cup,72,16g,1g,2g
pomegranate,Pinkberry, 0.5 cup,120,26g,0g,3g
cilantro,Cilantro, 100 g,23,1g,1g,2g
cilantro,Cilantro, 1 handfull,3,1g,0g,1g
Baby corn,Polar Baby Corn Nuggets, 0.5 cp.,25,4g,0g,2g
Baby corn,Tesco, 65 g,27,4g,0g,1g
Baby corn,Pampa, 1 oz,15,2g,0g,1g
chili powder,Chili powder, 28 grams,193,31g,2g,15g
chili powder,Spices, 1 tbsp,24,4g,1g,1g
Chickpea flour,Chickpea flour, 100 g,358,52g,5g,23g
Chickpea flour,Bob's Red Mill - Chickpea Flour, 0.25 cup (30g),120,16g,2g,5g
makki atta,Makki atta, 0.25 cup,100,23g,1g,3g
makki atta,Rajdhani Makki atta, 100 gms,365,76g,4g,9g
makki atta,Royal golf, 40 g,138,26g,2g,3g
spices,spices, 3 tablespoon,0,0g,0g,0g
spices,Spices, 1 tsp (2 g),5,1g,2g,0g
cinnamon stick,Cinnamon Stick, 1 raw stick,17,0g,0g,0g
cinnamon stick,Bigelow, 1 tea bag,0,0g,0g,0g
cinnamon stick,California Chorros, 2.1 oz,190,23g,8g,5g
raw rice,Rice, 100 g,341,78g,0g,7g
raw rice,Brown Rice, 100 g,357,76g,2g,7g
lemon,Lemon lemon. White peach, 355 ml,70,16g,0g,0g
lemon,Lemon Zest, 5 Tbsp,3,1g,0g,0g
lemon,Lemon, 1 cup,2,1g,0g,0g
musk melon seeds,Muskmelon, 1 cup,54,14g,0g,1g
musk melon seeds,Generic, 1 cup,53,13g,0g,1g
musk melon seeds,Fruits, 1 Cup,53,13g,0g,1g
cardamom pods,Sainsbury's, 1 teaspoon,1,1g,1g,1g
cardamom pods,Sundar, 400 grams,1244,68g,7g,11g
cardamom pods,Alcafe, 40 ml,23,3g,1g,2g
chia seed,chia seed, 100 gram,513,37g,29g,21g
chia seed,Chia Seed, 100 gramos,486,42g,31g,17g
arhar dal,Dal, 1 cup,203,39g,1g,11g
arhar dal,Arhar Dal - Meetu, 100 gm,343,63g,2g,22g
arhar dal,Aa, 1 cup cooked,219,32g,6g,11g
sugar,Sugar, 1 teaspoon,15,4g,0g,0g
sugar,Organic sugar, 1 tsp,15,4g,0g,0g
gooseberry,Generic, 100 g,44,10g,1g,1g
gooseberry,Vavel, 1 Tbsp,30,8g,0g,0g
gooseberry,Tesco, 114 g,225,20g,14g,3g
molu leaf,Steak molu delhaize, 100 g,77,0g,1g,18g
molu leaf,Cassava Leaf, 100 g,37,7g,0g,4g
molu leaf,Four Leaf Salad, 1 bag,15,2g,1g,1g
nigella seeds,Tesco, 100 grams,434,1g,31g,20g
nigella seeds,Morrisons, 100 g,307,43g,6g,10g
nigella seeds,Spice & Co., 2 gram,3,1g,0g,0g
Khaman,Khaman, 100 g,353,66g,4g,13g
Khaman,khaman, 2 pcs,160,14g,10g,4g
Khaman,Deep, 50 g,174,31g,2g,8g
coriander,Coriander, 0.25 cup (4g),1,0g,0g,0g
coriander,Coriander Fresh, 0.25 cup,1,0g,0g,0g
coriander,Coriander paste, 100 g,131,8g,10g,2g
ridge gourd,Ridge Gourd, 100 g,92,0g,0g,0g
ridge gourd,Generic, 1 cup,55,2g,1g,0g
ridge gourd,Homemade, 1 tbs,60,8g,2g,1g
Cinnamon,Cinnamon (JLDN), 1 tbsp - 8g - .3 oz,20,2g,0g,0g
Cinnamon,Cinnamon, 1 tsp,6,1g,0g,0g
fresh green chilli,Generic, 45 g,18,9g,0g,1g
fresh green chilli,Generic, 1 pepper,18,3g,0g,1g
fresh green chilli,Always Fresh, 20 gram,19,1g,2g,0g
green chilli,Desi, 1 chilli (20g),30,2g,0g,2g
green chilli,Generic, 45 g,18,9g,0g,1g
green chilli,Sonic, 1 burger,610,55g,31g,27g
Maida flour,maida, 100 g,348,74g,0g,11g
Maida flour,Indian Plain Flour, 1 (about 20g),90,18g,0g,3g
Maida flour,Deep All Purpose Flour / Maida, 0.25 Cup 30g,110,23g,1g,3g
orange rind,Generic, 1 tbsp (6.0 g),6,2g,0g,0g
orange rind,Kroger, 1 Slice (21g),70,0g,6g,5g
orange rind,Rind, 3 Tassen,152,0g,9g,18g
jaggery syrup,Jaggery, 1 tsp,15,4g,0g,0g
jaggery syrup,Palmsure, 100 grams,268,66g,0g,1g
jaggery syrup,Viola- Jaggery/gur, 100 gm,383,95g,0g,0g
palak,Palak Chicken, 147.7 gram,208,8g,8g,26g
palak,Homemade Palak Paratha, 57 g,196,32g,5g,5g
palak,Moong Dal Palak, 1 Cup Cooked,111,16g,3g,6g
parboiled rice,Parboiled, 1 cup,194,41g,0g,4g
parboiled rice,rice parboiled, 100 gram,378,77g,0g,7g
Gobi,Ashoka Gobi Paratha, 1 paratha,260,30g,12g,8g
Gobi,Home, 1 plate,184,27g,8g,5g
Gobi,Rockfella's Gobi Parantha, 100 Grams,254,34g,11g,5g
star anise,Generic, 1 star,7,1g,0g,0g
star anise,Star anise, 25 g,144,6g,12g,3g
star anise,Star Anise, 25 g,170,1g,17g,4g
tomatoes,Tomatoes, 0.5 cup,15,3g,0g,1g
tomatoes,Tomatoes*, 8 tomatoes,11,1g,0g,0g
slivered almonds,Slivered. Almonds, 41 gram,233,7g,18g,9g
